节点类型,inkscape:label,键名,值,值个数
svg,无label,house_window,"0,1 1,1 2,1 3,1 4,1 5,1 6,1 7,1",1
svg,无label,shop1_door_l,"6,1",1
svg,无label,shop1_door_r,"7,1",1
svg,无label,shop1_l,"0,1 2,1 4,1",1
svg,无label,shop1_r,"1,1 3,1 5,1",1
text,无label,collision_model_size,0.8 1.0 0.8,2
text,无label,collision_model_size,1.0 1.2 1.0,2
text,无label,collision_model_type,1,1
text,无label,mesh_name,crate_adjusted.mesh,2
text,无label,mesh_name,pipe.mesh,2
text,无label,name,crate_medical,3
text,无label,name,pipe,3
text,无label,name,rock1,3
text,无label,penetrability,0,1
text,无label,rock_mesh_set_template,rock1,1
text,无label,static_object_type_key,crate_medical.static_object,1
text,无label,stone_mesh_set_template,stone1,1
text,无label,texture0,crate_medical.png,2
text,无label,texture0,world_atlas1.png,2
text,无label,texture0_atlas_cell,5 3 32 32,1
title,无label,alpha_blend,1,1
title,无label,alpha_blend0,0,1
title,无label,alpha_blend1,1,1
title,无label,collision_model_offset,0 0 0,2
title,无label,collision_model_offset,0 8.6 0,2
title,无label,collision_model_size,.3 4 .3,7
title,无label,collision_model_size,0.1 2.0 0.1,7
title,无label,collision_model_size,0.9 0.2 1.5,7
title,无label,collision_model_size,1.3 1.85 0.6,7
title,无label,collision_model_size,1.5 0.8 2.7,7
title,无label,collision_model_size,14.5 7.0 3.0,7
title,无label,collision_model_size,3.2 8.7 1.3,7
title,无label,collision_model_type,0,2
title,无label,collision_model_type,1,2
title,无label,height,4.0,1
title,无label,key,aa_emplacement.vehicle,3
title,无label,key,deco_car2_black.vehicle,3
title,无label,key,jeep_ee.vehicle,3
title,无label,mesh_name,container.mesh,5
title,无label,mesh_name,enclosure.mesh,5
title,无label,mesh_name,palmtree_2.mesh,5
title,无label,mesh_name,parasol.mesh,5
title,无label,mesh_name,rock_s1.mesh,5
title,无label,name,enclosure_a,5
title,无label,name,palmtree_2,5
title,无label,name,parasol_blue,5
title,无label,name,plank,5
title,无label,name,rock_s1,5
title,无label,offset,0 3 0,1
title,无label,penetrability,0.2,1
title,无label,see_through,1,1
title,无label,separator_height,0.3,1
title,无label,static_object_type_key,parasol.static_object,1
title,无label,template,ChurchWall1,19
title,无label,template,bush0,19
title,无label,template,chairset_chair,19
title,无label,template,crate_medical,19
title,无label,template,enclosure,19
title,无label,template,lighthouse,19
title,无label,template,palmtree_1,19
title,无label,template,palmtree_2,19
title,无label,template,parasol_blue,19
title,无label,template,parasol_green,19
title,无label,template,parasol_red,19
title,无label,template,parasol_yellow,19
title,无label,template,rock_m2,19
title,无label,template,rock_s2,19
title,无label,template,sunchair_red,19
title,无label,template,sunchair_yellow,19
title,无label,template,ventilator,19
title,无label,template,venus,19
title,无label,template,weapon_rack,19
title,无label,texture0,alpha.png,2
title,无label,texture0,world_atlas1.png,2
title,无label,texture0_atlas_cell,2 2 16 32,3
title,无label,texture0_atlas_cell,4 0 32 32,3
title,无label,texture0_atlas_cell,5 0 16 16,3
title,无label,texture0_rect,0.0 0.03125 0.125 0.125,1
title,无label,texture1,world_atlas1.png,1
title,无label,top_material,pavement,1
title,无label,type,deck_end,2
title,无label,type,vehicle,2
title,无label,visual_hitbox_offset,,2
title,无label,visual_hitbox_offset,0 8 0,2
title,无label,visual_hitbox_size,2 2 2,2
title,无label,visual_hitbox_size,3.5 15 3.5,2
title,无label,visual_offset,0 0 0,2
title,无label,visual_offset,0 3 0,2
title,无label,walkable,0,2
title,无label,walkable,1,2
title,无label,wall_height,1.0,1
title,无label,wall_template,StoneWallCastle1,1
